"idt_ra","des_fase","des_turma","num_idade","num_inde","nam_pedra","num_iaa","num_ian","num_ieg","num_ips","num_ida","des_indicado","des_atingiu_pv","num_ipv","nam_fase_ideal","num_defasagem","num_ano"
RA-31,6.0,A,17,8.843,Topázio,10.0,5.0,9.5,9.4,8.0,Não,Sim,10.0,Fase 7 (3º EM),-1,2022
RA-32,6.0,A,16,7.37,Ametista,8.8,10.0,5.2,8.8,6.1,Não,Não,7.944,Fase 6 (2º EM),0,2022
RA-33,6.0,A,17,4.952,Quartzo,0.0,5.0,4.6,7.5,4.8,Não,Não,6.0,Fase 7 (3º EM),-1,2022
RA-34,6.0,A,17,6.259,Ágata,9.6,5.0,4.8,8.1,3.8,Não,Não,7.278,Fase 7 (3º EM),-1,2022
RA-35,6.0,A,17,8.965,Topázio,10.0,5.0,9.6,9.4,8.5,Não,Sim,10.0,Fase 7 (3º EM),-1,2022
RA-36,6.0,A,17,7.876,Ametista,9.2,5.0,9.0,6.9,6.8,Não,Sim,8.944,Fase 7 (3º EM),-1,2022
RA-37,6.0,A,17,4.95,Quartzo,0.0,5.0,5.4,5.0,5.9,Não,Não,5.222,Fase 7 (3º EM),-1,2022
RA-38,6.0,A,17,8.523,Topázio,9.2,5.0,8.9,7.5,8.6,Não,Sim,9.833,Fase 7 (3º EM),-1,2022
RA-39,6.0,A,16,6.033,Ágata,0.0,10.0,4.8,6.9,6.9,Não,Não,6.111,Fase 6 (2º EM),0,2022
RA-40,5.0,A,16,7.203,Ametista,7.9,5.0,7.8,7.5,6.8,Não,Não,7.75,Fase 6 (2º EM),-1,2022
RA-41,5.0,A,17,5.581,Quartzo,9.2,5.0,6.1,5.0,5.6,Não,Não,4.375,Fase 7 (3º EM),-2,2022
RA-42,5.0,A,15,6.72,Ágata,8.3,10.0,7.9,5.6,4.8,Não,Não,6.083,Fase 5 (1º EM),0,2022
RA-43,5.0,A,16,5.486,Quartzo,6.3,5.0,6.5,5.6,4.3,Não,Não,5.958,Fase 6 (2º EM),-1,2022
RA-44,5.0,A,17,5.542,Quartzo,5.0,5.0,5.9,7.5,3.0,Sim,Não,7.292,Fase 7 (3º EM),-2,2022
RA-45,5.0,A,15,7.591,Ametista,7.9,10.0,8.9,5.6,6.8,Não,Não,7.417,Fase 5 (1º EM),0,2022
RA-46,5.0,A,17,6.048,Ágata,8.8,5.0,8.4,6.3,2.1,Não,Não,7.083,Fase 7 (3º EM),-2,2022
RA-47,5.0,A,17,5.677,Quartzo,7.9,5.0,6.3,7.5,2.1,Não,Não,7.042,Fase 7 (3º EM),-2,2022
RA-48,5.0,A,15,8.006,Ametista,6.7,10.0,8.4,7.5,8.1,Não,Sim,8.5,Fase 5 (1º EM),0,2022
RA-49,5.0,A,17,6.304,Ágata,7.5,5.0,7.4,7.5,3.9,Não,Não,7.042,Fase 7 (3º EM),-2,2022
RA-50,5.0,A,18,7.138,Ametista,7.5,2.5,8.4,7.5,7.8,Não,Não,7.542,Fase 8 (Universitários),-3,2022
RA-51,5.0,B,17,6.488,Ágata,8.8,5.0,7.6,7.5,5.0,Não,Não,6.5,Fase 7 (3º EM),-2,2022
RA-52,5.0,B,13,7.861,Ametista,9.6,10.0,8.9,7.5,6.2,Não,Não,7.5,Fase 3 (7º e 8º ano),2,2022
RA-53,5.0,B,17,6.725,Ágata,9.2,5.0,7.0,7.5,7.0,Não,Não,6.458,Fase 7 (3º EM),-2,2022
RA-54,5.0,B,16,6.058,Ágata,7.9,5.0,6.9,7.5,4.8,Não,Não,6.125,Fase 6 (2º EM),-1,2022
RA-55,5.0,B,16,6.576,Ágata,7.1,5.0,7.6,5.6,7.5,Não,Não,6.5,Fase 6 (2º EM),-1,2022
RA-56,5.0,B,15,8.404,Topázio,10.0,10.0,10.0,7.5,7.0,Não,Não,8.25,Fase 5 (1º EM),0,2022
RA-57,5.0,B,16,7.305,Ametista,7.1,5.0,8.1,5.6,8.4,Não,Não,7.875,Fase 6 (2º EM),-1,2022
RA-58,5.0,B,15,8.136,Topázio,9.6,10.0,9.2,6.3,7.2,Não,Não,8.125,Fase 5 (1º EM),0,2022
RA-59,5.0,B,17,7.642,Ametista,9.2,5.0,9.3,7.5,7.2,Não,Não,7.917,Fase 7 (3º EM),-2,2022
RA-60,5.0,B,18,5.537,Quartzo,6.7,2.5,6.0,7.5,4.9,Não,Não,6.167,Fase 8 (Universitários),-3,2022
RA-61,5.0,B,15,7.533,Ametista,9.2,10.0,7.4,7.5,5.8,Sim,Não,7.875,Fase 5 (1º EM),0,2022
RA-62,5.0,B,17,7.891,Ametista,8.8,5.0,9.4,7.5,9.3,Sim,Não,7.25,Fase 7 (3º EM),-2,2022
RA-63,5.0,B,16,8.282,Topázio,8.3,5.0,9.1,8.8,8.7,Não,Sim,9.417,Fase 6 (2º EM),-1,2022
RA-64,5.0,B,16,7.368,Ametista,7.1,5.0,8.1,8.1,7.5,Sim,Não,8.25,Fase 6 (2º EM),-1,2022
RA-65,5.0,B,17,7.712,Ametista,8.3,5.0,7.7,7.5,9.3,Sim,Não,7.875,Fase 7 (3º EM),-2,2022
RA-66,5.0,B,17,5.665,Quartzo,7.5,5.0,5.6,7.5,4.5,Não,Não,5.917,Fase 7 (3º EM),-2,2022
RA-67,5.0,C,16,5.195,Quartzo,5.8,5.0,3.0,7.5,3.6,Não,Não,6.889,Fase 6 (2º EM),-1,2022
RA-68,5.0,C,16,6.438,Ágata,8.3,5.0,6.0,7.5,4.0,Sim,Não,7.944,Fase 6 (2º EM),-1,2022
RA-69,5.0,C,16,5.718,Quartzo,8.3,5.0,6.1,7.5,2.5,Não,Não,6.167,Fase 6 (2º EM),-1,2022
RA-70,5.0,C,16,5.712,Quartzo,8.8,5.0,6.6,5.0,2.9,Não,Não,6.111,Fase 6 (2º EM),-1,2022
RA-71,5.0,C,17,4.332,Quartzo,7.9,5.0,2.0,7.5,1.2,Não,Não,5.833,Fase 7 (3º EM),-2,2022
RA-72,5.0,C,17,7.64,Ametista,8.3,5.0,7.5,7.5,7.8,Sim,Sim,8.667,Fase 7 (3º EM),-2,2022
RA-73,5.0,C,17,5.271,Quartzo,7.1,5.0,3.0,7.5,3.3,Sim,Não,7.278,Fase 7 (3º EM),-2,2022
RA-74,5.0,C,16,4.989,Quartzo,9.6,5.0,3.3,7.5,2.0,Não,Não,5.833,Fase 6 (2º EM),-1,2022
RA-75,5.0,F,16,3.915,Quartzo,5.4,5.0,3.8,6.3,0.0,Não,Não,4.625,Fase 6 (2º EM),-1,2022
RA-76,5.0,F,15,9.105,Topázio,10.0,10.0,9.1,8.1,8.7,Não,Sim,9.292,Fase 5 (1º EM),0,2022
RA-77,5.0,F,16,3.846,Quartzo,7.1,5.0,2.7,5.0,0.7,Não,Não,4.625,Fase 6 (2º EM),-1,2022
RA-78,5.0,F,17,7.04,Ametista,8.3,5.0,6.6,5.6,7.2,Não,Não,8.0,Fase 7 (3º EM),-2,2022
RA-79,5.0,F,16,6.847,Ágata,5.4,5.0,6.3,5.6,8.9,Não,Não,7.292,Fase 6 (2º EM),-1,2022
RA-80,5.0,K,16,7.29,Ametista,9.2,5.0,8.3,5.0,7.1,Não,Não,7.625,Fase 6 (2º EM),-1,2022
RA-81,5.0,K,14,7.675,Ametista,9.2,10.0,9.2,5.0,6.0,Não,Não,7.458,Fase 4 (9º ano),1,2022
RA-82,5.0,K,17,6.596,Ágata,8.8,5.0,6.8,7.5,5.5,Sim,Não,6.417,Fase 7 (3º EM),-2,2022
RA-83,5.0,K,17,6.671,Ágata,7.9,5.0,6.8,7.5,6.8,Sim,Não,5.958,Fase 7 (3º EM),-2,2022
RA-84,5.0,K,17,6.682,Ágata,7.1,5.0,8.8,5.0,5.8,Não,Não,6.75,Fase 7 (3º EM),-2,2022
RA-85,5.0,K,15,6.243,Ágata,6.7,10.0,7.3,5.0,4.3,Não,Não,5.833,Fase 5 (1º EM),0,2022
RA-86,5.0,K,16,7.566,Ametista,7.5,5.0,9.6,5.6,6.7,Não,Sim,8.458,Fase 6 (2º EM),-1,2022
RA-87,5.0,K,15,8.712,Topázio,8.3,10.0,9.6,7.5,8.8,Não,Sim,8.5,Fase 5 (1º EM),0,2022
RA-88,5.0,K,17,7.498,Ametista,7.1,5.0,9.2,5.6,6.5,Sim,Sim,9.208,Fase 7 (3º EM),-2,2022
RA-89,5.0,K,16,7.323,Ametista,9.6,5.0,7.8,7.5,5.9,Sim,Não,8.0,Fase 6 (2º EM),-1,2022
RA-90,5.0,L,13,9.442,Topázio,10.0,10.0,9.7,9.4,8.5,Não,Sim,9.75,Fase 3 (7º e 8º ano),2,2022
RA-91,5.0,L,16,6.645,Ágata,9.2,5.0,5.7,5.6,6.6,Não,Não,7.125,Fase 6 (2º EM),-1,2022
RA-92,5.0,L,16,6.957,Ágata,9.2,5.0,7.1,5.0,7.4,Não,Não,6.667,Fase 6 (2º EM),-1,2022
RA-93,5.0,L,15,8.941,Topázio,8.3,10.0,9.7,8.1,8.5,Não,Sim,9.083,Fase 5 (1º EM),0,2022
RA-94,5.0,L,15,8.921,Topázio,8.3,10.0,9.6,8.1,7.7,Não,Sim,9.583,Fase 5 (1º EM),0,2022
RA-95,5.0,L,17,6.308,Ágata,8.3,5.0,6.6,7.5,4.8,Não,Não,6.292,Fase 7 (3º EM),-2,2022
RA-96,5.0,L,16,7.54,Ametista,9.2,5.0,7.8,6.9,6.7,Sim,Sim,8.5,Fase 6 (2º EM),-1,2022
RA-97,5.0,L,15,7.468,Ametista,7.5,10.0,8.8,5.0,6.9,Não,Não,6.292,Fase 5 (1º EM),0,2022
RA-98,5.0,L,15,9.354,Topázio,8.8,10.0,10.0,9.4,8.5,Não,Sim,9.667,Fase 5 (1º EM),0,2022
RA-99,5.0,L,16,6.158,Ágata,8.8,5.0,6.3,7.5,5.0,Não,Não,5.833,Fase 6 (2º EM),-1,2022
RA-100,4.0,A,13,7.618,Ametista,8.8,10.0,7.8,5.0,7.6,Não,Não,7.25,Fase 3 (7º e 8º ano),1,2022
RA-101,4.0,A,15,7.305,Ametista,7.9,5.0,8.3,7.5,7.6,Sim,Não,6.833,Fase 5 (1º EM),-1,2022
RA-102,4.0,A,14,6.922,Ágata,6.7,10.0,7.7,6.9,5.7,Não,Não,6.0,Fase 4 (9º ano),0,2022
RA-103,4.0,A,13,8.107,Topázio,7.9,10.0,8.7,7.5,7.3,Não,Não,7.708,Fase 3 (7º e 8º ano),1,2022
RA-104,4.0,A,18,6.315,Ágata,7.9,2.5,8.7,7.5,3.7,Não,Não,6.708,Fase 8 (Universitários),-4,2022
RA-105,4.0,A,17,6.846,Ágata,7.9,2.5,8.2,5.6,6.7,Não,Não,7.417,Fase 7 (3º EM),-3,2022
RA-106,4.0,A,15,7.973,Ametista,9.2,5.0,8.0,9.4,7.4,Não,Sim,8.375,Fase 5 (1º EM),-1,2022
RA-107,4.0,A,15,6.258,Ágata,7.5,5.0,6.4,7.5,4.6,Sim,Não,6.5,Fase 5 (1º EM),-1,2022
RA-108,4.0,A,17,5.547,Quartzo,4.6,2.5,7.7,5.0,5.0,Não,Não,6.125,Fase 7 (3º EM),-3,2022
RA-109,4.0,A,16,8.512,Topázio,8.8,5.0,10.0,8.8,8.4,Não,Sim,8.667,Fase 6 (2º EM),-2,2022
RA-110,4.0,A,14,8.15,Topázio,9.2,10.0,9.7,5.6,6.7,Não,Não,8.0,Fase 4 (9º ano),0,2022
RA-111,4.0,A,13,8.646,Topázio,7.5,10.0,9.4,8.1,8.0,Não,Sim,8.667,Fase 3 (7º e 8º ano),1,2022
RA-112,4.0,A,15,7.836,Ametista,7.9,5.0,7.8,6.3,8.5,Não,Sim,8.833,Fase 5 (1º EM),-1,2022
RA-113,4.0,A,15,3.032,Quartzo,0.0,5.0,0.0,5.0,3.7,Não,Não,3.792,Fase 5 (1º EM),-1,2022
RA-114,4.0,A,16,5.894,Quartzo,7.9,5.0,6.3,7.5,5.3,Não,Não,5.0,Fase 6 (2º EM),-2,2022
RA-115,4.0,A,16,5.886,Quartzo,8.3,5.0,6.8,6.3,3.8,Não,Não,5.583,Fase 6 (2º EM),-2,2022
RA-116,4.0,B,16,6.854,Ágata,5.8,5.0,8.1,6.3,5.9,Sim,Não,7.792,Fase 6 (2º EM),-2,2022
RA-117,4.0,B,15,6.685,Ágata,7.9,5.0,6.3,6.9,6.1,Não,Não,7.417,Fase 5 (1º EM),-1,2022
RA-118,4.0,B,14,5.597,Quartzo,0.0,10.0,5.3,6.3,3.9,Não,Não,6.958,Fase 4 (9º ano),0,2022
RA-119,4.0,B,14,7.501,Ametista,8.3,10.0,8.2,5.6,5.4,Não,Não,7.875,Fase 4 (9º ano),0,2022
RA-120,4.0,B,15,6.825,Ágata,8.3,5.0,5.9,7.5,6.2,Sim,Não,7.667,Fase 5 (1º EM),-1,2022
RA-121,4.0,B,16,7.245,Ametista,7.1,5.0,8.4,6.3,7.2,Sim,Não,7.625,Fase 6 (2º EM),-2,2022
RA-122,4.0,B,14,5.061,Quartzo,7.9,10.0,3.4,7.5,1.8,Não,Não,4.958,Fase 4 (9º ano),0,2022
RA-123,4.0,B,16,7.084,Ametista,7.9,5.0,8.6,5.6,6.5,Não,Não,7.292,Fase 6 (2º EM),-2,2022
RA-124,4.0,B,14,7.388,Ametista,7.9,10.0,7.8,5.0,6.7,Não,Não,7.167,Fase 4 (9º ano),0,2022
RA-125,4.0,B,15,7.619,Ametista,8.8,5.0,8.5,7.5,7.1,Sim,Não,7.75,Fase 5 (1º EM),-1,2022
RA-126,4.0,B,15,6.289,Ágata,7.1,5.0,5.8,7.5,4.4,Sim,Não,7.417,Fase 5 (1º EM),-1,2022
RA-127,4.0,B,14,8.283,Topázio,7.5,10.0,8.7,7.5,7.9,Sim,Não,8.125,Fase 4 (9º ano),0,2022
RA-128,4.0,B,15,5.563,Quartzo,0.0,5.0,6.2,7.5,5.6,Sim,Não,6.167,Fase 5 (1º EM),-1,2022
RA-129,4.0,B,15,6.926,Ágata,6.7,5.0,6.4,7.5,6.7,Sim,Não,7.792,Fase 5 (1º EM),-1,2022
RA-130,4.0,F,16,5.624,Quartzo,8.3,5.0,4.7,5.0,4.1,Não,Não,6.5,Fase 6 (2º EM),-2,2022
RA-131,4.0,F,15,7.174,Ametista,8.8,5.0,9.0,5.6,5.6,Sim,Não,7.75,Fase 5 (1º EM),-1,2022
RA-132,4.0,F,14,8.355,Topázio,10.0,10.0,8.8,5.6,7.7,Não,Sim,8.458,Fase 4 (9º ano),0,2022
RA-133,4.0,F,15,6.875,Ágata,7.9,5.0,7.1,7.5,5.6,Não,Não,7.625,Fase 5 (1º EM),-1,2022
RA-134,4.0,F,15,6.607,Ágata,8.8,5.0,6.8,7.5,4.7,Sim,Não,7.375,Fase 5 (1º EM),-1,2022
RA-135,4.0,F,15,7.692,Ametista,8.3,5.0,7.8,5.6,8.6,Sim,Sim,8.583,Fase 5 (1º EM),-1,2022
RA-136,4.0,F,15,6.478,Ágata,10.0,5.0,6.3,7.5,4.6,Não,Não,6.667,Fase 5 (1º EM),-1,2022
RA-137,4.0,F,17,7.056,Ametista,7.5,2.5,8.9,5.0,7.3,Não,Não,7.792,Fase 7 (3º EM),-3,2022
RA-138,4.0,F,15,6.738,Ágata,9.6,5.0,8.0,5.6,5.6,Sim,Não,6.375,Fase 5 (1º EM),-1,2022
RA-139,4.0,F,17,3.738,Quartzo,7.1,2.5,3.5,5.0,1.4,Não,Não,3.917,Fase 7 (3º EM),-3,2022
RA-140,4.0,F,14,7.407,Ametista,7.9,10.0,7.6,6.9,5.7,Sim,Não,7.667,Fase 4 (9º ano),0,2022
RA-141,4.0,F,14,7.118,Ametista,9.2,10.0,8.2,5.6,5.7,Não,Não,5.917,Fase 4 (9º ano),0,2022
RA-142,4.0,F,14,7.457,Ametista,6.7,10.0,8.6,5.6,6.3,Não,Não,7.583,Fase 4 (9º ano),0,2022
RA-143,4.0,F,13,8.638,Topázio,8.3,10.0,9.9,5.6,7.9,Não,Sim,9.5,Fase 3 (7º e 8º ano),1,2022
RA-144,4.0,F,14,8.181,Topázio,7.5,10.0,9.3,5.0,7.9,Não,Não,8.292,Fase 4 (9º ano),0,2022
RA-145,4.0,H,16,5.846,Quartzo,0.0,5.0,6.3,8.1,5.2,Sim,Não,7.25,Fase 6 (2º EM),-2,2022
RA-146,4.0,H,15,7.947,Ametista,8.3,5.0,9.2,7.5,7.9,Sim,Não,8.208,Fase 5 (1º EM),-1,2022
RA-147,4.0,H,14,7.541,Ametista,8.3,10.0,7.7,7.5,6.1,Não,Não,7.25,Fase 4 (9º ano),0,2022
RA-148,4.0,H,14,7.894,Ametista,9.2,10.0,7.9,10.0,5.3,Sim,Não,7.708,Fase 4 (9º ano),0,2022
RA-149,4.0,H,15,6.323,Ágata,9.2,5.0,6.5,7.5,5.0,Não,Não,6.125,Fase 5 (1º EM),-1,2022
RA-150,4.0,H,16,6.962,Ágata,9.6,5.0,6.3,6.9,6.9,Sim,Não,7.333,Fase 6 (2º EM),-2,2022
RA-151,4.0,H,16,7.563,Ametista,8.8,5.0,7.5,6.9,8.3,Sim,Não,7.958,Fase 6 (2º EM),-2,2022
RA-152,4.0,L,16,6.712,Ágata,8.3,5.0,7.0,7.5,6.5,Não,Não,6.292,Fase 6 (2º EM),-2,2022
RA-153,4.0,L,14,7.535,Ametista,7.9,10.0,8.2,5.0,6.6,Não,Não,7.708,Fase 4 (9º ano),0,2022
RA-154,4.0,L,15,6.073,Ágata,8.3,5.0,6.1,6.3,4.0,Sim,Não,6.833,Fase 5 (1º EM),-1,2022
RA-155,4.0,L,16,7.051,Ametista,10.0,5.0,8.3,7.5,5.2,Sim,Não,6.833,Fase 6 (2º EM),-2,2022
RA-156,4.0,L,15,7.357,Ametista,10.0,5.0,8.3,9.4,4.4,Sim,Não,7.792,Fase 5 (1º EM),-1,2022
RA-157,4.0,L,12,8.317,Topázio,7.5,10.0,10.0,6.3,7.7,Não,Não,8.292,Fase 3 (7º e 8º ano),1,2022
RA-158,4.0,L,17,7.302,Ametista,7.9,2.5,9.8,5.6,6.6,Não,Não,8.125,Fase 7 (3º EM),-3,2022
RA-159,4.0,L,15,6.49,Ágata,8.3,5.0,8.1,5.6,4.7,Não,Não,6.458,Fase 5 (1º EM),-1,2022
RA-160,4.0,L,15,6.746,Ágata,7.5,5.0,7.2,5.6,5.3,Sim,Não,8.25,Fase 5 (1º EM),-1,2022
RA-161,4.0,L,11,7.957,Ametista,7.9,10.0,9.1,5.6,6.9,Não,Não,8.083,Fase 2 (5º e 6º ano),2,2022
RA-162,4.0,L,14,7.215,Ametista,6.7,10.0,8.5,7.5,5.5,Não,Não,6.542,Fase 4 (9º ano),0,2022
RA-163,4.0,L,15,6.797,Ágata,8.8,5.0,7.9,5.6,6.7,Não,Não,6.5,Fase 5 (1º EM),-1,2022
RA-164,4.0,L,16,6.776,Ágata,8.3,5.0,7.3,5.6,6.5,Sim,Não,7.208,Fase 6 (2º EM),-2,2022
RA-165,4.0,L,14,8.063,Topázio,7.1,10.0,9.8,5.6,7.6,Não,Não,7.5,Fase 4 (9º ano),0,2022
RA-166,4.0,L,14,8.253,Topázio,9.2,10.0,9.0,6.3,8.1,Sim,Não,7.542,Fase 4 (9º ano),0,2022
RA-167,4.0,P,16,7.798,Ametista,9.2,5.0,9.7,5.6,7.9,Não,Não,7.833,Fase 6 (2º EM),-2,2022
RA-168,4.0,P,15,6.917,Ágata,7.9,5.0,8.3,6.3,5.9,Não,Não,7.083,Fase 5 (1º EM),-1,2022
RA-169,4.0,P,15,5.159,Quartzo,7.5,5.0,5.1,6.3,3.2,Não,Não,4.792,Fase 5 (1º EM),-1,2022
RA-170,4.0,P,14,7.007,Ágata,8.3,10.0,9.2,5.6,4.9,Não,Não,5.792,Fase 4 (9º ano),0,2022
RA-171,4.0,P,16,6.581,Ágata,7.5,5.0,6.8,7.5,5.5,Não,Não,6.875,Fase 6 (2º EM),-2,2022
RA-172,4.0,P,14,8.673,Topázio,9.2,10.0,8.9,9.4,7.3,Não,Sim,8.917,Fase 4 (9º ano),0,2022
RA-173,4.0,P,17,7.816,Ametista,8.3,2.5,9.2,6.9,7.9,Não,Sim,9.25,Fase 7 (3º EM),-3,2022
RA-174,4.0,P,15,6.075,Ágata,7.9,5.0,6.2,7.5,4.4,Não,Não,6.042,Fase 5 (1º EM),-1,2022
RA-175,4.0,P,15,6.75,Ágata,8.3,5.0,9.2,5.6,5.9,Não,Não,5.833,Fase 5 (1º EM),-1,2022
RA-176,3.0,A,13,8.427,Topázio,9.6,10.0,9.1,5.6,6.9,Não,Sim,9.083,Fase 3 (7º e 8º ano),0,2022
RA-177,3.0,A,13,7.424,Ametista,7.9,10.0,8.8,4.4,6.8,Não,Não,6.958,Fase 3 (7º e 8º ano),0,2022
RA-178,3.0,A,13,7.025,Ágata,0.0,10.0,8.8,4.4,6.3,Não,Sim,8.458,Fase 3 (7º e 8º ano),0,2022
RA-179,3.0,A,12,7.993,Ametista,7.5,10.0,9.2,7.5,6.1,Sim,Não,8.042,Fase 3 (7º e 8º ano),0,2022
RA-180,3.0,A,12,8.442,Topázio,9.2,10.0,8.3,6.3,8.1,Não,Sim,8.625,Fase 3 (7º e 8º ano),0,2022
RA-181,3.0,A,13,8.623,Topázio,9.2,10.0,9.5,8.8,6.8,Não,Sim,8.458,Fase 3 (7º e 8º ano),0,2022
RA-182,3.0,A,16,6.328,Ágata,7.5,2.5,8.0,7.5,4.1,Não,Não,6.958,Fase 6 (2º EM),-3,2022
RA-183,3.0,A,13,7.3,Ametista,8.3,10.0,8.8,7.5,3.8,Não,Não,7.25,Fase 3 (7º e 8º ano),0,2022
RA-184,3.0,A,16,7.28,Ametista,8.8,2.5,7.7,7.5,7.2,Sim,Não,8.0,Fase 6 (2º EM),-3,2022
RA-185,3.0,A,15,6.615,Ágata,7.9,5.0,7.7,7.5,4.5,Não,Não,6.875,Fase 5 (1º EM),-2,2022
RA-186,3.0,A,13,7.832,Ametista,8.3,10.0,8.5,7.5,6.6,Sim,Não,7.5,Fase 3 (7º e 8º ano),0,2022
RA-187,3.0,A,12,7.928,Ametista,8.8,10.0,8.9,7.5,5.8,Não,Não,7.917,Fase 3 (7º e 8º ano),0,2022
RA-188,3.0,A,14,5.307,Quartzo,0.0,5.0,6.1,7.5,2.7,Sim,Não,7.583,Fase 4 (9º ano),-1,2022
RA-189,3.0,A,14,7.629,Ametista,10.0,5.0,9.7,5.0,7.2,Não,Não,7.333,Fase 4 (9º ano),-1,2022
RA-190,3.0,A,13,7.335,Ametista,6.7,10.0,6.9,8.8,6.3,Não,Não,7.25,Fase 3 (7º e 8º ano),0,2022
RA-191,3.0,A,13,8.74,Topázio,10.0,10.0,9.4,8.8,7.2,Não,Sim,8.5,Fase 3 (7º e 8º ano),0,2022
RA-192,3.0,B,15,4.932,Quartzo,8.8,5.0,3.6,7.5,2.7,Não,Não,4.708,Fase 5 (1º EM),-2,2022
RA-193,3.0,B,12,8.155,Topázio,9.2,10.0,8.9,5.6,6.7,Não,Sim,8.5,Fase 3 (7º e 8º ano),0,2022
RA-194,3.0,B,14,4.265,Quartzo,0.0,5.0,6.2,5.0,3.2,Não,Não,3.75,Fase 4 (9º ano),-1,2022
